name	provider	accession	tax_id	annotation	species	other_info
ViralProj15485	NCBI	GCF_000863845.1	334205	True	Human papillomavirus type 41	Hirt L., Deutsches Krebsforschungszentrum, Abt. ATV, D-6900 Heidelberg, Germany
ViralProj15506	NCBI	GCF_000865665.1	337042	True	Human papillomavirus 18	NCBI
ViralProj15507	NCBI	GCF_000866485.1	337044	True	Human papillomavirus type 26	H. Delius, Deutsches Krebsforschungszentrum, Abteilung ATV, Im Neuenheimer Feld 506, W 6900 Heidelberg, FRG
ViralProj208538	NCBI	GCF_000908695.1	1513256	True	Human papillomavirus 154	Department of Medical Microbiology, Malmo University Hospital Lund University
ViralProj387245	NCBI	GCF_002153865.1	652810	True	Human papillomavirus type 85	Laboratorio de Biologia Molecular, Universidade Federal do Rio Grande
ViralProj167868	NCBI	GCF_000898855.1	1513256	True	Human papillomavirus 140	Microbiology and Immunology, Albert Einstein College of Medicine of Yeshiva University
ViralProj15492	NCBI	GCF_000864845.1	333926	True	Human papillomavirus 4	H. Delius, Deutsches Krebsforschungszentrum, Abt ATV, Im Neuenheimer Feld 506, W -6900 Heidelberg, FRG
ViralProj15486	NCBI	GCF_000865565.1	334204	True	Human papillomavirus type 63	H. Delius, Deutsches Krebsforschungszentrum, Abt ATV, Im Neuenheimer Feld 506, W -6900 Heidelberg, FRG
ViralProj17119	NCBI	GCF_000868225.1	1175848	True	Human papillomavirus 103	Microbiology and Immunology, Albert Einstein College of Medicine of Yeshiva University
ViralProj15450	NCBI	GCF_000861925.1	333757	True	Human papillomavirus type 7	H. Delius, Deutsches Krebsforschungszentrum, Abteilung ATV, Im Neuenheimer Feld 506, W 6900 Heidelberg, FRG
ViralProj15454	NCBI	GCF_000861945.1	333754	True	Human papillomavirus type 6b	NCBI
ViralProj51741	NCBI	GCF_000890115.1	1513257	True	Human papillomavirus 127	Laboratory of Cellular Oncology, National Cancer Institute, NIH
ViralProj62177	NCBI	GCF_000890535.1	1513259	True	Human papillomavirus 131	Clinic for Dermatology, Venerology und Allergology, Haut Tumor Centrum Charite (HTCC), Charite - Universitaetsmedizin Berlin
ViralProj36519	NCBI	GCF_000883695.1	1175849	True	Human papillomavirus 109	Department of Medical Microbiology, Institution of Laboratory Medicine
ASM282698v1	NCBI	GCF_002826985.1	1513264	True	Human papillomavirus type 161	Genetic Department, Peking University Cancer Hospital & Institute
ASM282682v1	NCBI	GCF_002826825.1	931244	True	Human papillomavirus 71	Toshihiko T. Matsukura, National Institute of Infectious Diseases, Department of Virology II; 1-23-1 Toyama, Shinjuku, Tokyo 160, Japan
ASM282700v1	NCBI	GCF_002827005.1	1961679	True	Human papillomavirus 172	Pathology, University of Washington
ASM282704v1	NCBI	GCF_002827045.1	1961783	True	Human papillomavirus 204	Institute of Microbiology and Immunology, University of Ljubljana, Faculty of Medicine
ASM282702v1	NCBI	GCF_002827025.1	1961680	True	Human papillomavirus 175	Department of Laboratory Medicine, Lund University
ASM298736v1	NCBI	GCF_002987365.1	1961682	True	Human papillomavirus 184	Kocjan B.J., Ljubljana, Institute of Microbiology and Immunology, Faculty of Medicine, Univers, Zaloska 4, Ljubljana, 1000, SLOVENIA
ASM305560v1	NCBI	GCF_003055605.1	1961683	True	Human papillomavirus 187	Department of Pediatrics, Albert Einstein College of Medicine
ASM318083v1	NCBI	GCA_003180835.1	337049	True	Human papillomavirus 73	H. Delius, Deutsches Kerbsforschungzentrum, Abt. ATV - 0686, Im Neuenheimer Feld 506, 69120 Heidelberg, FRG
